Name,Genres,Language,Rating,OrderedSet
Ben Hur,"['Drama', 'Action', 'Adventure']",English,7.3,"Ben Hur | ['Drama', 'Action', 'Adventure'] | English | 7.3"
Benched,"['Comedy', 'Legal']",English,7.2,"Benched | ['Comedy', 'Legal'] | English | 7.2"
Benidorm,['Comedy'],English,7.4,Benidorm | ['Comedy'] | English | 7.4
Berlin Station,"['Drama', 'Mystery', 'Espionage']",English,7.1,"Berlin Station | ['Drama', 'Mystery', 'Espionage'] | English | 7.1"
"Bernhard, Schavuit van Oranje",['Drama'],Dutch,,"Bernhard, Schavuit van Oranje | ['Drama'] | Dutch"
Berserk,"['Anime', 'Fantasy', 'Horror']",Japanese,8.1,"Berserk | ['Anime', 'Fantasy', 'Horror'] | Japanese | 8.1"
Best Friends Whenever,"['Comedy', 'Adventure', 'Science-Fiction']",English,,"Best Friends Whenever | ['Comedy', 'Adventure', 'Science-Fiction'] | English"
Best New Restaurant,['Food'],English,,Best New Restaurant | ['Food'] | English
Best Time Ever with Neil Patrick Harris,"['Comedy', 'Music']",English,7.6,"Best Time Ever with Neil Patrick Harris | ['Comedy', 'Music'] | English | 7.6"
Betas,['Comedy'],English,6.1,Betas | ['Comedy'] | English | 6.1
